#Bin	Completeness	Contamination
cleaned_SRR30598653_bin.4.orig_filtered_kept_contigs	95.57	0.99
cleaned_SRR30598643_bin.28.orig_filtered_kept_contigs	99.8	0
cleaned_SRR30598630_bin.22.strict_filtered_kept_contigs	94.04	0.49
cleaned_SRR30598621_bin.36.permissive_filtered_kept_contigs	94.77	0.94
cleaned_SRR30598637_bin.8.orig_filtered_kept_contigs	90.58	3.16
cleaned_SRR30598646_bin.56.orig_filtered_kept_contigs	99.98	0.32
cleaned_SRR30598640_bin.30.orig_filtered_kept_contigs	98.58	0.1
cleaned_SRR30598651_bin.19.orig_filtered_kept_contigs	95.89	1.36
cleaned_SRR30598642_bin.51.permissive_filtered_kept_contigs	99.96	0.08
cleaned_SRR30598642_bin.56.permissive_filtered_kept_contigs	97.3	0.4
cleaned_SRR30598626_bin.62.strict_filtered_kept_contigs	95.46	1.39
cleaned_SRR30598638_bin.26.orig_filtered_kept_contigs	94.38	0.26
cleaned_SRR30598631_bin.4.orig_filtered_kept_contigs	97.8	0.05
cleaned_SRR30598630_bin.38.orig_filtered_kept_contigs	91.03	0
cleaned_SRR30598630_bin.33.orig_filtered_kept_contigs	92.3	0.25
cleaned_SRR30598642_bin.41.orig_filtered_kept_contigs	95.79	0.07
cleaned_SRR30598622_bin.12.orig_filtered_kept_contigs	99.99	1.8
cleaned_SRR30598635_bin.41.orig_filtered_kept_contigs	91.16	0.34
cleaned_SRR30598635_bin.27.orig_filtered_kept_contigs	98.72	0.22
cleaned_SRR30598653_bin.34.strict_filtered_kept_contigs	99.74	1.03
cleaned_SRR30598618_clean_bin.3.orig_filtered_kept_contigs	95.73	2.1
cleaned_SRR30598623_bin.10.strict_filtered_kept_contigs	99.99	1.27
cleaned_SRR30598642_bin.44.orig_filtered_kept_contigs	98.08	0.25
cleaned_SRR30598644_bin.29.strict_filtered_kept_contigs	94.52	3.24
cleaned_SRR30598626_bin.37.orig_filtered_kept_contigs	90.73	2.12
cleaned_SRR30598626_bin.34.orig_filtered_kept_contigs	100	0.34
cleaned_SRR30598626_bin.38.strict_filtered_kept_contigs	91.54	0.02
cleaned_SRR30598626_bin.41.strict_filtered_kept_contigs	92.11	1.48
cleaned_SRR30598626_bin.27.strict_filtered_kept_contigs	99.89	0.29
cleaned_SRR30598653_bin.11.orig_filtered_kept_contigs	97.76	0.2
cleaned_SRR30598646_bin.1.orig_filtered_kept_contigs	97.59	0.63
cleaned_SRR30598628_bin.21.orig_filtered_kept_contigs	97.65	0.78
cleaned_SRR30598655_clean_bin.7.orig_filtered_kept_contigs	99.8	0.32
cleaned_SRR30598628_bin.12.orig_filtered_kept_contigs	98.72	0.15
cleaned_SRR30598629_bin.72.orig_filtered_kept_contigs	99.99	0.05
cleaned_SRR30598629_bin.6.permissive_filtered_kept_contigs	97.04	0.11
cleaned_SRR30598624_bin.10.strict_filtered_kept_contigs	99.43	0.35
cleaned_SRR30598651_bin.16.strict_filtered_kept_contigs	99.5	0.04
cleaned_SRR30598642_bin.8.orig_filtered_kept_contigs	98.84	0.28
cleaned_SRR30598654_bin.34.orig_filtered_kept_contigs	99.05	1.33
cleaned_SRR30598631_bin.34.strict_filtered_kept_contigs	99.66	1.43
cleaned_SRR30598629_bin.44.orig_filtered_kept_contigs	96.16	0.07
cleaned_SRR30598643_bin.15.orig_filtered_kept_contigs	99.92	0.13
cleaned_SRR30598638_bin.18.orig_filtered_kept_contigs	96.13	0.68
cleaned_SRR30598642_bin.23.orig_filtered_kept_contigs	97.48	2.5
cleaned_SRR30598618_clean_bin.32.orig_filtered_kept_contigs	95.84	0.27
cleaned_SRR30598640_bin.23.orig_filtered_kept_contigs	99.96	0.01
cleaned_SRR30598646_bin.41.orig_filtered_kept_contigs	94.77	0.03
cleaned_SRR30598624_bin.27.orig_filtered_kept_contigs	96.27	0.64
cleaned_SRR30598656_bin.40.strict_filtered_kept_contigs	98.19	3.17
cleaned_SRR30598629_bin.17.orig_filtered_kept_contigs	95.22	0.15
cleaned_SRR30598639_clean_bin.16.orig_filtered_kept_contigs	94.38	0.27
cleaned_SRR30598629_bin.79.strict_filtered_kept_contigs	95.8	0.08
cleaned_SRR30598631_bin.6.orig_filtered_kept_contigs	97.04	1.12
cleaned_SRR30598636_bin.20.orig_filtered_kept_contigs	90.01	0.06
cleaned_SRR30598618_clean_bin.5.orig_filtered_kept_contigs	93.95	0.35
cleaned_SRR30598620_clean_bin.31.strict_filtered_kept_contigs	91.98	0.91
cleaned_SRR30598647_bin.26.orig_filtered_kept_contigs	96.15	0.14
cleaned_SRR30598619_bin.21.orig_filtered_kept_contigs	96.88	1.14
cleaned_SRR30598629_bin.76.strict_filtered_kept_contigs	100	0.08
cleaned_SRR30598620_clean_bin.16.orig_filtered_kept_contigs	94.75	1.97
cleaned_SRR30598647_bin.37.orig_filtered_kept_contigs	99.36	0.03
cleaned_SRR30598650_bin.27.orig_filtered_kept_contigs	100	0.13
cleaned_SRR30598620_clean_bin.72.orig_filtered_kept_contigs	97.69	0.02
cleaned_SRR30598654_bin.19.strict_filtered_kept_contigs	99.92	0.56
cleaned_SRR30598630_bin.29.strict_filtered_kept_contigs	99.05	0.09
cleaned_SRR30598622_bin.28.orig_filtered_kept_contigs	99.14	1.13
cleaned_SRR30598641_bin.11.permissive_filtered_kept_contigs	95.05	0.2
cleaned_SRR30598637_bin.44.orig_filtered_kept_contigs	92.86	0.21
cleaned_SRR30598642_bin.16.orig_filtered_kept_contigs	99.99	1.02
cleaned_SRR30598630_bin.47.orig_filtered_kept_contigs	95.69	0.6
cleaned_SRR30598620_clean_bin.14.strict_filtered_kept_contigs	96.51	0.36
cleaned_SRR30598620_clean_bin.24.orig_filtered_kept_contigs	93.6	0.13
cleaned_SRR30598631_bin.27.strict_filtered_kept_contigs	96.84	0.38
cleaned_SRR30598656_bin.45.orig_filtered_kept_contigs	98.59	0
cleaned_SRR30598620_clean_bin.32.orig_filtered_kept_contigs	99.98	0.33
cleaned_SRR30598645_clean_bin.32.strict_filtered_kept_contigs	99.99	2.08
cleaned_SRR30598644_bin.46.strict_filtered_kept_contigs	96.89	0.05
cleaned_SRR30598653_bin.3.orig_filtered_kept_contigs	99.85	0.86
cleaned_SRR30598625_bin.9.orig_filtered_kept_contigs	99.95	0.05
cleaned_SRR30598638_bin.12.orig_filtered_kept_contigs	100	2.4
cleaned_SRR30598620_clean_bin.12.strict_filtered_kept_contigs	96.18	0
cleaned_SRR30598643_bin.22.orig_filtered_kept_contigs	99.96	0.13
cleaned_SRR30598643_bin.20.orig_filtered_kept_contigs	99.71	0.23
cleaned_SRR30598645_clean_bin.71.orig_filtered_kept_contigs	98.29	0.75
cleaned_SRR30598630_bin.57.orig_filtered_kept_contigs	93.3	0.19
cleaned_SRR30598626_bin.18.orig_filtered_kept_contigs	99.79	1.9
cleaned_SRR30598654_bin.16.orig_filtered_kept_contigs	90.57	1.39
cleaned_SRR30598631_bin.21.orig_filtered_kept_contigs	92.54	0.27
cleaned_SRR30598629_bin.18.orig_filtered_kept_contigs	99.09	0.2
cleaned_SRR30598630_bin.81.orig_filtered_kept_contigs	95.17	0.07
cleaned_SRR30598638_bin.29.orig_filtered_kept_contigs	99.87	0.07
cleaned_SRR30598638_bin.43.orig_filtered_kept_contigs	94.56	0.08
cleaned_SRR30598654_bin.24.orig_filtered_kept_contigs	99.99	0.31
cleaned_SRR30598643_bin.9.orig_filtered_kept_contigs	93.81	0.31
cleaned_SRR30598618_clean_bin.59.orig_filtered_kept_contigs	93.73	0.87
cleaned_SRR30598630_bin.19.strict_filtered_kept_contigs	96.01	2.22
cleaned_SRR30598630_bin.54.orig_filtered_kept_contigs	91.98	0.42
cleaned_SRR30598638_bin.32.orig_filtered_kept_contigs	99.94	0.03
cleaned_SRR30598648_bin.42.orig_filtered_kept_contigs	91.96	0.65
cleaned_SRR30598635_bin.54.orig_filtered_kept_contigs	100	0.39
cleaned_SRR30598624_bin.14.strict_filtered_kept_contigs	99.73	0.89
cleaned_SRR30598639_clean_bin.32.orig_filtered_kept_contigs	94.9	0.64
cleaned_SRR30598639_clean_bin.55.orig_filtered_kept_contigs	96.82	0.42
cleaned_SRR30598618_clean_bin.29.orig_filtered_kept_contigs	93.73	0.42
cleaned_SRR30598644_bin.23.strict_filtered_kept_contigs	91.58	1.09
cleaned_SRR30598646_bin.24.orig_filtered_kept_contigs	98.88	0.21
cleaned_SRR30598647_bin.4.orig_filtered_kept_contigs	94.33	0.06
cleaned_SRR30598626_bin.36.strict_filtered_kept_contigs	98.49	0.05
cleaned_SRR30598640_bin.31.orig_filtered_kept_contigs	99.98	0.35
cleaned_SRR30598637_bin.10.orig_filtered_kept_contigs	96.14	0.03
cleaned_SRR30598647_bin.8.permissive_filtered_kept_contigs	92.49	1.59
cleaned_SRR30598620_clean_bin.38.orig_filtered_kept_contigs	98.26	0.97
cleaned_SRR30598629_bin.33.strict_filtered_kept_contigs	98.67	1.27
cleaned_SRR30598631_bin.29.strict_filtered_kept_contigs	96.73	0.76
cleaned_SRR30598646_bin.57.orig_filtered_kept_contigs	91.47	1.27
cleaned_SRR30598626_bin.77.orig_filtered_kept_contigs	99.99	0.23
cleaned_SRR30598620_clean_bin.80.orig_filtered_kept_contigs	99.85	0.25
cleaned_SRR30598635_bin.42.orig_filtered_kept_contigs	99.86	0.12
cleaned_SRR30598626_bin.55.orig_filtered_kept_contigs	95.08	4.42
cleaned_SRR30598640_bin.43.orig_filtered_kept_contigs	96.8	1.71
cleaned_SRR30598642_bin.32.orig_filtered_kept_contigs	96.08	0.35
cleaned_SRR30598639_clean_bin.26.orig_filtered_kept_contigs	99.81	1.46
cleaned_SRR30598630_bin.60.strict_filtered_kept_contigs	99.9	0.17
cleaned_SRR30598639_clean_bin.56.orig_filtered_kept_contigs	99.92	0.06
cleaned_SRR30598645_clean_bin.54.orig_filtered_kept_contigs	94.8	0.19
cleaned_SRR30598631_bin.12.permissive_filtered_kept_contigs	91.76	0.11
cleaned_SRR30598650_bin.18.orig_filtered_kept_contigs	97.86	0.69
cleaned_SRR30598628_bin.6.permissive_filtered_kept_contigs	99.8	0.11
cleaned_SRR30598629_bin.51.orig_filtered_kept_contigs	99.99	0.02
cleaned_SRR30598635_bin.56.orig_filtered_kept_contigs	99.35	0.36
cleaned_SRR30598626_bin.20.strict_filtered_kept_contigs	98.38	0.59
cleaned_SRR30598618_clean_bin.37.orig_filtered_kept_contigs	92.94	1.76
cleaned_SRR30598648_bin.20.orig_filtered_kept_contigs	99.95	0.14
cleaned_SRR30598644_bin.14.orig_filtered_kept_contigs	96.94	0.25
cleaned_SRR30598642_bin.18.orig_filtered_kept_contigs	99.77	0.15
cleaned_SRR30598618_clean_bin.77.orig_filtered_kept_contigs	98.39	0.38
cleaned_SRR30598638_bin.20.orig_filtered_kept_contigs	99.3	0.89
cleaned_SRR30598640_bin.19.orig_filtered_kept_contigs	100	1
cleaned_SRR30598624_bin.22.strict_filtered_kept_contigs	99.94	0.93
cleaned_SRR30598637_bin.20.strict_filtered_kept_contigs	97.88	0.91
cleaned_SRR30598621_bin.20.strict_filtered_kept_contigs	97.05	0.24
cleaned_SRR30598642_bin.20.strict_filtered_kept_contigs	97.34	1.03
cleaned_SRR30598630_bin.55.orig_filtered_kept_contigs	98.16	1.28
cleaned_SRR30598652_bin.5.orig_filtered_kept_contigs	97.01	0
cleaned_SRR30598620_clean_bin.104.strict_filtered_kept_contigs	99.68	0.07
cleaned_SRR30598628_bin.17.orig_filtered_kept_contigs	92.93	0.03
cleaned_SRR30598643_bin.1.orig_filtered_kept_contigs	98.6	0.26
cleaned_SRR30598629_bin.41.orig_filtered_kept_contigs	96.77	0.43
cleaned_SRR30598620_clean_bin.11.orig_filtered_kept_contigs	96.24	1.38
cleaned_SRR30598645_clean_bin.66.orig_filtered_kept_contigs	94.37	0.35
cleaned_SRR30598638_bin.44.orig_filtered_kept_contigs	99.95	1.18
cleaned_SRR30598622_bin.26.orig_filtered_kept_contigs	95.04	0.77
cleaned_SRR30598654_bin.51.strict_filtered_kept_contigs	97.7	0.28
cleaned_SRR30598629_bin.59.orig_filtered_kept_contigs	99.84	0.05
cleaned_SRR30598628_bin.26.orig_filtered_kept_contigs	99.86	1.42
cleaned_SRR30598654_bin.11.orig_filtered_kept_contigs	90.37	0.56
cleaned_SRR30598625_bin.5.permissive_filtered_kept_contigs	97.83	0.83
cleaned_SRR30598626_bin.10.orig_filtered_kept_contigs	98.69	0.16
cleaned_SRR30598648_bin.45.strict_filtered_kept_contigs	90.78	0.99
cleaned_SRR30598631_bin.67.orig_filtered_kept_contigs	99.75	1
cleaned_SRR30598631_bin.106.strict_filtered_kept_contigs	96.35	0.8
cleaned_SRR30598618_clean_bin.11.strict_filtered_kept_contigs	90.25	0.66
cleaned_SRR30598637_bin.42.orig_filtered_kept_contigs	99.85	1.97
cleaned_SRR30598631_bin.85.orig_filtered_kept_contigs	95.16	0.12
cleaned_SRR30598648_bin.14.orig_filtered_kept_contigs	98.1	0.84
cleaned_SRR30598639_clean_bin.8.orig_filtered_kept_contigs	93.96	3.15
cleaned_SRR30598644_bin.43.orig_filtered_kept_contigs	99.96	0.64
cleaned_SRR30598640_bin.21.orig_filtered_kept_contigs	99.59	0.16
cleaned_SRR30598646_bin.69.orig_filtered_kept_contigs	99.95	0.36
cleaned_SRR30598639_clean_bin.48.orig_filtered_kept_contigs	95.92	0.24
cleaned_SRR30598620_clean_bin.48.orig_filtered_kept_contigs	99.81	0.41
cleaned_SRR30598636_bin.46.strict_filtered_kept_contigs	97.58	0.32
cleaned_SRR30598638_bin.39.orig_filtered_kept_contigs	99.98	0.39
cleaned_SRR30598656_bin.41.permissive_filtered_kept_contigs	98.27	0.33
cleaned_SRR30598639_clean_bin.14.orig_filtered_kept_contigs	97.41	1.23
cleaned_SRR30598644_bin.13.orig_filtered_kept_contigs	99.88	0.27
cleaned_SRR30598619_bin.38.orig_filtered_kept_contigs	98.39	3.5
cleaned_SRR30598618_clean_bin.54.orig_filtered_kept_contigs	96.55	0.01
cleaned_SRR30598636_bin.51.orig_filtered_kept_contigs	91.19	2.45
cleaned_SRR30598619_bin.32.orig_filtered_kept_contigs	94.86	0.51
cleaned_SRR30598626_bin.60.strict_filtered_kept_contigs	98.36	0.73
cleaned_SRR30598645_clean_bin.41.orig_filtered_kept_contigs	99.93	0.62
cleaned_SRR30598631_bin.69.orig_filtered_kept_contigs	99.93	0.01
cleaned_SRR30598641_bin.30.orig_filtered_kept_contigs	99.92	0.13
cleaned_SRR30598653_bin.53.strict_filtered_kept_contigs	95.87	4.16
cleaned_SRR30598633_bin.4.permissive_filtered_kept_contigs	99.95	0.36
cleaned_SRR30598620_clean_bin.73.orig_filtered_kept_contigs	95.16	1.07
cleaned_SRR30598618_clean_bin.81.orig_filtered_kept_contigs	99.96	0.35
cleaned_SRR30598629_bin.1.orig_filtered_kept_contigs	97.42	0.26
cleaned_SRR30598620_clean_bin.84.orig_filtered_kept_contigs	98.67	0.12
cleaned_SRR30598629_bin.63.strict_filtered_kept_contigs	93.99	0.51
cleaned_SRR30598646_bin.9.orig_filtered_kept_contigs	94.46	0.56
cleaned_SRR30598620_clean_bin.59.orig_filtered_kept_contigs	95.55	0.57
cleaned_SRR30598640_bin.39.orig_filtered_kept_contigs	98.2	0.05
cleaned_SRR30598620_clean_bin.13.strict_filtered_kept_contigs	98.05	0.01
cleaned_SRR30598626_bin.43.orig_filtered_kept_contigs	99.91	0.01
cleaned_SRR30598620_clean_bin.69.orig_filtered_kept_contigs	90.04	0.16
cleaned_SRR30598640_bin.28.orig_filtered_kept_contigs	99.55	0.7
cleaned_SRR30598650_bin.41.strict_filtered_kept_contigs	94.73	0.42
cleaned_SRR30598630_bin.6.orig_filtered_kept_contigs	99.99	0.36
cleaned_SRR30598631_bin.92.orig_filtered_kept_contigs	90.79	1.11
cleaned_SRR30598650_bin.8.orig_filtered_kept_contigs	99.45	0.08
cleaned_SRR30598645_clean_bin.22.orig_filtered_kept_contigs	96.77	0.78
cleaned_SRR30598635_bin.15.orig_filtered_kept_contigs	96.04	0.07
cleaned_SRR30598653_bin.51.orig_filtered_kept_contigs	95.8	2.18
cleaned_SRR30598626_bin.32.strict_filtered_kept_contigs	94.3	0.8
cleaned_SRR30598637_bin.43.strict_filtered_kept_contigs	99.92	0
cleaned_SRR30598628_bin.7.orig_filtered_kept_contigs	99.91	0.52
cleaned_SRR30598635_bin.30.orig_filtered_kept_contigs	99.56	0.13
cleaned_SRR30598621_bin.44.orig_filtered_kept_contigs	90.72	0.6
cleaned_SRR30598647_bin.25.orig_filtered_kept_contigs	97.73	0.54
cleaned_SRR30598656_bin.43.permissive_filtered_kept_contigs	99.98	0.82
cleaned_SRR30598639_clean_bin.53.orig_filtered_kept_contigs	100	0
cleaned_SRR30598653_bin.17.orig_filtered_kept_contigs	99.62	0.13
cleaned_SRR30598644_bin.16.orig_filtered_kept_contigs	99.97	0.09
cleaned_SRR30598643_bin.35.orig_filtered_kept_contigs	90.85	0.26
cleaned_SRR30598653_bin.35.orig_filtered_kept_contigs	97.36	0.64
cleaned_SRR30598620_clean_bin.8.permissive_filtered_kept_contigs	93.08	0.19
cleaned_SRR30598631_bin.1.orig_filtered_kept_contigs	97.93	0.04
cleaned_SRR30598640_bin.16.orig_filtered_kept_contigs	97.06	0.1
cleaned_SRR30598640_bin.7.orig_filtered_kept_contigs	95.35	2.17
cleaned_SRR30598635_bin.48.orig_filtered_kept_contigs	97.99	0.31
cleaned_SRR30598656_bin.28.permissive_filtered_kept_contigs	92.48	0.18
cleaned_SRR30598618_clean_bin.53.orig_filtered_kept_contigs	97.31	0.57
cleaned_SRR30598641_bin.32.orig_filtered_kept_contigs	99.65	1.64
cleaned_SRR30598629_bin.14.permissive_filtered_kept_contigs	95.26	0
cleaned_SRR30598638_bin.8.orig_filtered_kept_contigs	91.57	0.47
cleaned_SRR30598636_bin.44.orig_filtered_kept_contigs	91.65	0.04
cleaned_SRR30598630_bin.31.orig_filtered_kept_contigs	91.26	1.66
cleaned_SRR30598651_bin.8.orig_filtered_kept_contigs	99.98	0.48
cleaned_SRR30598631_bin.51.strict_filtered_kept_contigs	95	0.05
cleaned_SRR30598622_bin.25.orig_filtered_kept_contigs	99.99	0.1
cleaned_SRR30598656_bin.5.orig_filtered_kept_contigs	93.08	0.12
cleaned_SRR30598624_bin.9.orig_filtered_kept_contigs	91.89	0.37
cleaned_SRR30598645_clean_bin.2.orig_filtered_kept_contigs	100	0.12
cleaned_SRR30598623_bin.6.orig_filtered_kept_contigs	99.9	0.1
cleaned_SRR30598646_bin.39.orig_filtered_kept_contigs	99.99	0.26
cleaned_SRR30598648_bin.28.orig_filtered_kept_contigs	100	1.02
cleaned_SRR30598645_clean_bin.86.orig_filtered_kept_contigs	100	1.07
cleaned_SRR30598646_bin.61.orig_filtered_kept_contigs	99.72	0.16
cleaned_SRR30598656_bin.30.orig_filtered_kept_contigs	96.43	0.16
cleaned_SRR30598648_bin.31.orig_filtered_kept_contigs	90.97	0.52
cleaned_SRR30598641_bin.18.strict_filtered_kept_contigs	99.95	0.01
cleaned_SRR30598641_bin.23.strict_filtered_kept_contigs	99.92	1.26
cleaned_SRR30598635_bin.36.orig_filtered_kept_contigs	99.95	0.05
cleaned_SRR30598618_clean_bin.10.orig_filtered_kept_contigs	95.3	0.48
cleaned_SRR30598642_bin.28.orig_filtered_kept_contigs	99.82	0.18
cleaned_SRR30598648_bin.30.orig_filtered_kept_contigs	90.44	0.95
cleaned_SRR30598628_bin.4.orig_filtered_kept_contigs	99.98	0.12
cleaned_SRR30598656_bin.27.strict_filtered_kept_contigs	94.98	0.13
cleaned_SRR30598620_clean_bin.39.orig_filtered_kept_contigs	92.36	1.59
cleaned_SRR30598653_bin.19.orig_filtered_kept_contigs	99.5	0.22
cleaned_SRR30598644_bin.30.orig_filtered_kept_contigs	91.99	1.2
cleaned_SRR30598631_bin.73.strict_filtered_kept_contigs	91.5	0.12
cleaned_SRR30598654_bin.35.orig_filtered_kept_contigs	90.09	1.28
cleaned_SRR30598643_bin.46.orig_filtered_kept_contigs	95.37	0.27
cleaned_SRR30598620_clean_bin.82.orig_filtered_kept_contigs	92.69	0.59
cleaned_SRR30598620_clean_bin.4.orig_filtered_kept_contigs	96.9	2.02
cleaned_SRR30598629_bin.2.strict_filtered_kept_contigs	98.25	0.07
cleaned_SRR30598626_bin.31.strict_filtered_kept_contigs	96.68	0.2
cleaned_SRR30598656_bin.4.strict_filtered_kept_contigs	96.13	0.5
cleaned_SRR30598641_bin.25.orig_filtered_kept_contigs	99.05	1.34
cleaned_SRR30598629_bin.66.orig_filtered_kept_contigs	99.52	1.06
cleaned_SRR30598624_bin.29.orig_filtered_kept_contigs	100	0.01
cleaned_SRR30598653_bin.43.orig_filtered_kept_contigs	99.82	0.84
cleaned_SRR30598620_clean_bin.27.orig_filtered_kept_contigs	95.99	0.51
cleaned_SRR30598631_bin.100.orig_filtered_kept_contigs	93.63	0.09
cleaned_SRR30598630_bin.73.orig_filtered_kept_contigs	99.9	0.92
cleaned_SRR30598618_clean_bin.79.orig_filtered_kept_contigs	99.14	0.2
cleaned_SRR30598647_bin.31.orig_filtered_kept_contigs	95.3	3.03
cleaned_SRR30598647_bin.38.orig_filtered_kept_contigs	99.98	0.01
cleaned_SRR30598644_bin.40.orig_filtered_kept_contigs	94	0.08
cleaned_SRR30598656_bin.14.orig_filtered_kept_contigs	97.69	0.04
cleaned_SRR30598645_clean_bin.64.orig_filtered_kept_contigs	99.87	2.29
cleaned_SRR30598626_bin.61.strict_filtered_kept_contigs	96.87	0.65
cleaned_SRR30598648_bin.21.permissive_filtered_kept_contigs	99.84	0.17
cleaned_SRR30598654_bin.25.orig_filtered_kept_contigs	98.3	1.18
cleaned_SRR30598639_clean_bin.67.strict_filtered_kept_contigs	97.78	0.45
cleaned_SRR30598639_clean_bin.5.orig_filtered_kept_contigs	98.96	0.8
cleaned_SRR30598643_bin.3.orig_filtered_kept_contigs	95.64	0.01
cleaned_SRR30598654_bin.9.strict_filtered_kept_contigs	93.23	0.99
cleaned_SRR30598618_clean_bin.33.orig_filtered_kept_contigs	94.4	2.44
cleaned_SRR30598619_bin.39.orig_filtered_kept_contigs	98.13	0.45
cleaned_SRR30598636_bin.55.orig_filtered_kept_contigs	96.72	0.54
cleaned_SRR30598626_bin.9.orig_filtered_kept_contigs	99.52	0.92
cleaned_SRR30598656_bin.32.orig_filtered_kept_contigs	99.97	0.78
cleaned_SRR30598653_bin.41.orig_filtered_kept_contigs	99.98	0.2
cleaned_SRR30598620_clean_bin.3.orig_filtered_kept_contigs	100	0.2
cleaned_SRR30598629_bin.50.orig_filtered_kept_contigs	100	0.07
cleaned_SRR30598639_clean_bin.1.strict_filtered_kept_contigs	95.65	2.85
cleaned_SRR30598624_bin.7.orig_filtered_kept_contigs	97.3	0.09
cleaned_SRR30598642_bin.12.orig_filtered_kept_contigs	100	0.09
cleaned_SRR30598639_clean_bin.42.orig_filtered_kept_contigs	99.79	1.04
cleaned_SRR30598647_bin.32.strict_filtered_kept_contigs	97.51	0.15
cleaned_SRR30598651_bin.1.strict_filtered_kept_contigs	93.89	1.81
cleaned_SRR30598629_bin.9.orig_filtered_kept_contigs	99.07	0.25
cleaned_SRR30598644_bin.41.orig_filtered_kept_contigs	92.31	2.26
cleaned_SRR30598648_bin.33.strict_filtered_kept_contigs	95.92	1.42
cleaned_SRR30598620_clean_bin.25.strict_filtered_kept_contigs	95.33	0.09
cleaned_SRR30598629_bin.75.orig_filtered_kept_contigs	97.07	0.11
cleaned_SRR30598630_bin.84.strict_filtered_kept_contigs	100	0.16
cleaned_SRR30598646_bin.34.strict_filtered_kept_contigs	99.56	0.3
cleaned_SRR30598624_bin.1.permissive_filtered_kept_contigs	99.96	1.32
cleaned_SRR30598647_bin.35.orig_filtered_kept_contigs	99.59	0.05
cleaned_SRR30598626_bin.29.orig_filtered_kept_contigs	99.9	0.03
cleaned_SRR30598646_bin.26.orig_filtered_kept_contigs	96.64	1.06
cleaned_SRR30598630_bin.50.orig_filtered_kept_contigs	93.44	2.01
cleaned_SRR30598631_bin.31.orig_filtered_kept_contigs	90.12	0.06
cleaned_SRR30598634_bin.1.permissive_filtered_kept_contigs	97.99	1.09
cleaned_SRR30598630_bin.66.orig_filtered_kept_contigs	93.53	4.93
cleaned_SRR30598631_bin.10.orig_filtered_kept_contigs	98.29	1.23
cleaned_SRR30598623_bin.3.strict_filtered_kept_contigs	96.75	0
cleaned_SRR30598635_bin.47.orig_filtered_kept_contigs	100	0.98
cleaned_SRR30598625_bin.18.orig_filtered_kept_contigs	99.95	0.58
cleaned_SRR30598624_bin.24.orig_filtered_kept_contigs	98.82	2.56
cleaned_SRR30598646_bin.47.permissive_filtered_kept_contigs	99.07	0.13
cleaned_SRR30598633_bin.2.strict_filtered_kept_contigs	99.94	0.43
cleaned_SRR30598645_clean_bin.72.orig_filtered_kept_contigs	99.97	0.44
cleaned_SRR30598628_bin.1.orig_filtered_kept_contigs	100	0.12
cleaned_SRR30598631_bin.71.orig_filtered_kept_contigs	98.93	0.49
cleaned_SRR30598628_bin.2.orig_filtered_kept_contigs	92.55	4.65
cleaned_SRR30598630_bin.82.orig_filtered_kept_contigs	96.95	0.07
cleaned_SRR30598631_bin.17.permissive_filtered_kept_contigs	99.99	1.09
cleaned_SRR30598651_bin.6.permissive_filtered_kept_contigs	90.4	0.91
cleaned_SRR30598618_clean_bin.88.strict_filtered_kept_contigs	99.98	0.21
cleaned_SRR30598656_bin.33.orig_filtered_kept_contigs	97.56	0.05
cleaned_SRR30598630_bin.87.orig_filtered_kept_contigs	99.25	0.82
cleaned_SRR30598640_bin.26.strict_filtered_kept_contigs	98.95	0.04
cleaned_SRR30598642_bin.30.orig_filtered_kept_contigs	99.94	0.08
cleaned_SRR30598656_bin.25.strict_filtered_kept_contigs	95.51	0.38
cleaned_SRR30598646_bin.12.strict_filtered_kept_contigs	99.95	0.65
cleaned_SRR30598646_bin.70.strict_filtered_kept_contigs	91.14	1.82
cleaned_SRR30598654_bin.21.orig_filtered_kept_contigs	98.15	0.93
cleaned_SRR30598642_bin.15.orig_filtered_kept_contigs	98.66	1.45
cleaned_SRR30598631_bin.15.strict_filtered_kept_contigs	98.21	0.71
cleaned_SRR30598639_clean_bin.50.orig_filtered_kept_contigs	91.82	0
cleaned_SRR30598653_bin.38.strict_filtered_kept_contigs	99.68	0.07
cleaned_SRR30598646_bin.13.strict_filtered_kept_contigs	100	0.31
cleaned_SRR30598621_bin.42.permissive_filtered_kept_contigs	99.99	0.63
cleaned_SRR30598622_bin.20.orig_filtered_kept_contigs	99.65	1.84
cleaned_SRR30598626_bin.22.orig_filtered_kept_contigs	99.1	0.09
cleaned_SRR30598630_bin.26.orig_filtered_kept_contigs	95.48	1.4
cleaned_SRR30598643_bin.38.strict_filtered_kept_contigs	100	0
cleaned_SRR30598631_bin.55.orig_filtered_kept_contigs	98.94	0.34
cleaned_SRR30598638_bin.9.strict_filtered_kept_contigs	100	0.08
cleaned_SRR30598647_bin.3.strict_filtered_kept_contigs	94	2.21
cleaned_SRR30598631_bin.76.orig_filtered_kept_contigs	93.02	1.46
cleaned_SRR30598639_clean_bin.22.orig_filtered_kept_contigs	99.42	0.09
